DeviceOrientation,AccelerationX,AccelerationY,AccelerationZ,Label
1594763749,portrait,-0.425506592,0.624694824,-0.630050659
1594763749,portrait,-0.424880981,0.626556396,-0.579483032
1594763749,portrait,-0.429794312,0.634567261,-0.610839844
1594763749,portrait,-0.430938721,0.653579712,-0.642944336
1594763749,portrait,-0.429077148,0.630432129,-0.622650146
1594763749,portrait,-0.430541992,0.628433228,-0.625183105
1594763749,portrait,-0.429519653,0.635498047,-0.619918823
1594763749,portrait,-0.443283081,0.648086548,-0.635391235
1594763749,portrait,-0.430099487,0.646011353,-0.62109375
1594763749,portrait,-0.424682617,0.645462036,-0.621261597
1594763749,portrait,-0.427749634,0.646713257,-0.619094849
1594763749,portrait,-0.429870605,0.642364502,-0.618026733
1594763749,portrait,-0.433853149,0.644592285,-0.628875732
1594763749,portrait,-0.434509277,0.649520874,-0.638671875
1594763749,portrait,-0.4296875,0.633377075,-0.617767334
1594763749,portrait,-0.457733154,0.624847412,-0.595825195
1594763749,portrait,-0.474182129,0.643264771,-0.558929443
1594763749,portrait,-0.469543457,0.635955811,-0.54208374
1594763749,portrait,-0.475097656,0.601730347,-0.49710083
1594763749,portrait,-0.494781494,0.613220215,-0.447662354
1594763749,portrait,-0.509552002,0.70098877,-0.568695068
1594763749,portrait,-0.495040894,0.674209595,-0.473770142
1594763749,portrait,-0.587600708,0.668899536,-0.326263428
1594763749,portrait,-0.643432617,0.711486816,-0.337081909
1594763749,portrait,-0.689804077,0.706054688,-0.263000488
1594763750,portrait,-0.753616333,0.756881714,-0.167510986
1594763750,portrait,-0.705703735,0.705932617,-0.155136108
1594763750,portrait,-0.738311768,0.733520508,-0.14894104
1594763750,portrait,-0.650878906,0.723083496,-0.078018188
1594763750,portrait,-0.670166016,0.676757813,-4.58E-05
1594763750,portrait,-0.730682373,0.607513428,0.067657471
1594763750,portrait,-0.793151855,0.635803223,0.060470581
1594763750,portrait,-0.78868103,0.62210083,-0.033340454
1594763750,portrait,-0.762802124,0.649368286,-0.012405396
1594763750,portrait,-0.838668823,0.657913208,0.034439087
1594763750,portrait,-0.886474609,0.64440918,0.062667847
1594763750,portrait,-0.873062134,0.671966553,0.013412476
1594763750,portrait,-0.826843262,0.651168823,0.006225586
1594763750,portrait,-0.827590942,0.670776367,-0.12487793
1594763750,portrait,-0.881729126,0.738815308,-0.138549805
1594763750,portrait,-0.925964355,0.75932312,-0.064437866
1594763750,portrait,-0.75239563,0.662460327,-0.080307007
1594763750,portrait,-0.699630737,0.596664429,-0.226455688
1594763750,portrait,-0.686080933,0.754806519,-0.297271729
1594763750,portrait,-0.620513916,0.826477051,-0.223831177
1594763750,portrait,-0.651733398,0.751266479,-0.104873657
1594763750,portrait,-0.705184937,0.663024902,-0.124832153
1594763750,portrait,-0.697906494,0.689575195,-0.110916138
1594763750,portrait,-0.64730835,0.650985718,-0.086669922
